FECHA,FAMILIA,MODELO,REAL,PRED,IC_LOWER,IC_UPPER
2025-03-01,106,XGBoost,3125.12988,4332.38818359375,-3007.68896484375,16937.199157226532
2025-04-01,106,XGBoost,70852.02799999999,5779.60986328125,-925.099609375,17472.868021328115
2025-05-01,106,XGBoost,4015.92,5641.8857421875,-1698.19140625,18864.2244921875
2025-06-01,106,XGBoost,71347.076,9511.7333984375,1723.615234375,22734.0721484375
2025-07-01,106,XGBoost,356.07,11040.7216796875,3252.603515625,24755.08903125
2025-08-01,106,XGBoost,574.395,12065.017578125,4926.90625,25545.6713439453
2025-09-01,106,XGBoost,17436.05,10727.1171875,2938.9990234375,23949.4559375
2025-10-01,106,XGBoost,6617.466,8088.3671875,1899.654296875,20010.6474609375
2025-11-01,106,XGBoost,760.758,8992.509765625,1854.3984375,22214.848515625
2025-12-01,106,XGBoost,6055.29,11143.4638671875,3803.38671875,23748.274840820282
2026-01-01,106,XGBoost,1375.05,7698.73583984375,560.62451171875,20303.546813476532
2026-02-01,106,XGBoost,804.84,9081.5068359375,1741.4296875,21686.317809570282
2025-03-01,106,LightGBM,3125.12988,4456.3773085814555,-3021.4638405377436,22121.30882719509
2025-04-01,106,LightGBM,70852.02799999999,6046.799882536997,-1477.0947616992273,22814.253553723407
2025-05-01,106,LightGBM,4015.92,8873.535638962814,1395.694489843615,25640.989310149223
2025-06-01,106,LightGBM,71347.076,8941.012859379887,302.67722041707384,25252.342588547286
2025-07-01,106,LightGBM,356.07,9522.61232666633,884.2766877035174,28368.093509953123
2025-08-01,106,LightGBM,574.395,9522.61232666633,2002.1951360011572,27807.33241923335
2025-09-01,106,LightGBM,17436.05,8873.535638962814,-67.47722041707311,26538.46715757645
2025-10-01,106,LightGBM,6617.466,8873.535638962814,1395.694489843615,25184.865368130213
2025-11-01,106,LightGBM,760.758,8873.535638962814,1346.4947272099253,25640.989310149223
2025-12-01,106,LightGBM,6055.29,9455.135106249258,1344.66446271116,27120.066624862895
2026-01-01,106,LightGBM,1375.05,8873.535638962814,1346.4947272099253,26538.46715757645
2026-02-01,106,LightGBM,804.84,9455.135106249258,1928.0941944963688,27120.066624862895
2025-03-01,124,XGBoost,69216.1716,41970.10546875,19900.249703125,61137.51144375
2025-04-01,124,XGBoost,35977.0388,40160.109375,22554.845703125,60967.2811625
2025-05-01,124,XGBoost,107885.6278,37133.36328125,15063.507515624999,58174.98736703124
2025-06-01,124,XGBoost,45997.7258,28001.3359375,6077.76160828125,48808.507725
2025-07-01,124,XGBoost,81587.3188,24841.19921875,1816.5422187500008,44008.60519375
2025-08-01,124,XGBoost,52584.9428,27240.984375,12612.043484375,48048.1561625
2025-09-01,124,XGBoost,55737.4504,39185.140625,16160.483625,59992.3124125
2025-10-01,124,XGBoost,39879.4792,40243.24609375,18481.351246875,61496.9936875
2025-11-01,124,XGBoost,85032.6124,26779.658203125,12694.808780390627,44571.86545312501
2025-12-01,124,XGBoost,56470.525200000004,18730.787109375,-3031.1077374999986,37244.97368999997
2026-01-01,124,XGBoost,29845.6596,17914.017578125,-3847.8772687499986,38721.189365625
2026-02-01,124,XGBoost,80066.9195,21096.923828125,-664.9710187499986,40264.329803125
2025-03-01,124,LightGBM,69216.1716,33888.332014331936,14010.325770322663,50660.16300961067
2025-04-01,124,LightGBM,35977.0388,44602.82873776917,28559.73056509406,62002.032833087396
2025-05-01,124,LightGBM,107885.6278,40252.36346351025,20374.357219500976,57651.56755882848
2025-06-01,124,LightGBM,45997.7258,38638.49696874405,20408.413702513277,56037.70106406228
2025-07-01,124,LightGBM,81587.3188,39804.13400176326,19926.127757753988,57203.33809708149
2025-08-01,124,LightGBM,52584.9428,32251.07329407797,18329.32750912585,49650.2773893962
2025-09-01,124,LightGBM,55737.4504,21693.68792492622,383.70057345168425,39092.89202024445
2025-10-01,124,LightGBM,39879.4792,40216.26910782247,23807.57439597844,57615.4732031407
2025-11-01,124,LightGBM,85032.6124,33593.860876473365,19672.115091521246,50011.5628043198
2025-12-01,124,LightGBM,56470.525200000004,30765.85387751411,14357.159165670084,47369.4735657625
2026-01-01,124,LightGBM,29845.6596,26081.95000574291,9673.255293898885,46776.57902122774
2026-02-01,124,LightGBM,80066.9195,23444.941686976596,7036.24697513257,40844.14578229483
2025-03-01,233,XGBoost,21096.0964,13269.591796875,13010.814752187502,13557.336340625
2025-04-01,233,XGBoost,28358.591699999997,13196.4111328125,12933.8882203125,13526.6653640625
2025-05-01,233,XGBoost,22738.9522,24012.4609375,23749.938025,24270.039433125
2025-06-01,233,XGBoost,41278.9248,45020.0234375,44749.124276328126,45299.90581984375
2025-07-01,233,XGBoost,46137.0338,50191.8828125,49920.983651328126,50479.62735625
2025-08-01,233,XGBoost,65552.6556,29547.240234375,29284.717321875,29877.494465625
2025-09-01,233,XGBoost,58895.6434,21567.572265625,21312.935390625003,21838.764890624996
2025-10-01,233,XGBoost,14842.8496,21052.828125,20809.010874121093,21340.57266875
2025-11-01,233,XGBoost,24269.5142,23576.62890625,23314.10599375,23864.37345
2025-12-01,233,XGBoost,6483.878,19209.1328125,18930.655140625,19466.941896874996
2026-01-01,233,XGBoost,27734.8576,25811.353515625,25552.5764709375,26141.607746875
2026-02-01,233,XGBoost,11170.347600000001,21903.912109375,21633.012948203126,22191.656653125
2025-03-01,233,LightGBM,21096.0964,15404.210194381038,12365.129014975668,20126.527903436505
2025-04-01,233,LightGBM,28358.591699999997,22152.205820820378,19113.12464141501,26686.434114103216
2025-05-01,233,LightGBM,22738.9522,26712.040488119674,23804.10378234245,31434.35819717514
2025-06-01,233,LightGBM,41278.9248,35885.95418435374,32324.62342403579,40608.271893409204
2025-07-01,233,LightGBM,46137.0338,40480.282039300284,37441.20085989492,45202.59974835575
2025-08-01,233,LightGBM,65552.6556,32919.67661148096,28885.834325575437,38431.31458327375
2025-09-01,233,LightGBM,58895.6434,18088.057483558627,15048.976304153257,22810.375192614094
2025-10-01,233,LightGBM,14842.8496,21553.322067851917,18645.385362074692,27064.96003964471
2025-11-01,233,LightGBM,24269.5142,31184.418734472743,27150.576448567223,36321.129581465284
2025-12-01,233,LightGBM,6483.878,28717.965529119316,25678.884349713946,33440.28323817479
2026-01-01,233,LightGBM,27734.8576,26338.634595420153,23361.847040988152,31475.345442412698
2026-02-01,233,LightGBM,11170.347600000001,27492.891131440654,23094.73329044599,32027.119424723493
