Modelo,Familia,RMSE,MAE,MAPE_%,SMAPE_%
LSTM,106,25153.55,14716.53,331.18,150.74
LSTM,124,46258.63,40550.83,60.92,91.56
LSTM,233,21812.96,18073.45,91.78,60.09
GRU,106,27067.94,15591.48,586.02,104.45
GRU,124,38622.69,32336.21,47.24,63.95
GRU,233,19396.68,15804.44,66.12,55.42
LSTM,106,25153.55,14716.53,331.18,150.74
LSTM,124,46258.63,40550.83,60.92,91.56
LSTM,233,21812.96,18073.45,91.78,60.09
GRU,106,27067.94,15591.48,586.02,104.45
GRU,124,38622.69,32336.21,47.24,63.95
GRU,233,19396.68,15804.44,66.12,55.42
LSTM,106,27337.51,14666.6,399.49,108.97
LSTM,124,39922.81,33091.27,47.48,65.63
LSTM,233,16486.22,13016.94,69.4,45.12
GRU,106,27331.38,14644.07,395.68,108.93
GRU,124,42827.7,35740.39,50.96,73.44
GRU,233,18108.74,16184.75,89.79,54.24
