Modelo,Familia,RMSE,MAE,MAPE_%,SMAPE_%
SARIMA,106,28588.1,14373.9,153.09,107.29
SARIMA,124,41125.91,32852.7,45.83,64.93
SARIMA,233,20523.34,15946.08,57.16,59.86
Prophet,106,11076.72,10507.47,972.54,117.1
Prophet,124,24109.79,20124.37,33.4,41.87
Prophet,233,27388.05,20570.75,55.02,85.15
